"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LATS1|LATS1",765.90461367734,0.294705516493305,0.457538012202087,0.644111546218674,0.519503103648415,0.996139221459177
"OPRM1|OPRM1",11.4798284815637,0.482684011404807,1.85237659502856,0.260575529133894,0.794419862803825,0.996139221459177
"IGF2R|IGF2R",5502.49465882014,-0.232335956755105,0.515015623298567,-0.45112409457997,0.651900112904034,0.996139221459177
"QKI|QKI",2946.39648453405,0.420893463833006,0.492829298530514,0.854034987546395,0.393085603836044,0.996139221459177
"PLN|PLN",108.835654321479,1.11221224458361,1.15849977333745,0.960045284583443,0.337032424210755,0.996139221459177
"ARHGAP18|ARHGAP18",1438.09479554525,0.254391549942989,0.461422295596782,0.551320454972751,0.58141401879922,0.996139221459177
"MIR27B|MIR27B",4.33975889059447,-0.52669529417534,1.44354202508275,-0.364863152595192,0.715213560870418,0.996139221459177
"MIR23B|MIR23B",3.27283067987142,1.99655038538466,1.96458248087742,1.01627211115767,0.309499825388198,0.996139221459177
"DAPK1|DAPK1",655.249504858252,-0.481359795671374,0.512998425510639,-0.938326068334863,0.348076866998112,0.996139221459177
"HNRNPK|HNRNPK",15617.9406305099,0.234819198174865,0.35580201748234,0.659971519657051,0.509272106136786,0.996139221459177
"MIR7-1|MIR7-1",25.1943710151193,0.701923735500252,0.693172606217564,1.01262474772401,0.311239434457424,0.996139221459177
"GNAQ|GNAQ",1316.59640422909,-0.0579334267891663,0.479404803104599,-0.120844485524535,0.903814213922393,0.996139221459177
"ANXA1|ANXA1",18554.1226541348,-0.33871782706127,0.352171183625753,-0.961798814922973,0.336150673463674,0.996139221459177
"ALDH1A1|ALDH1A1",59.9574012986242,0.832786173629756,1.11801753296989,0.744877561461448,0.456345741039039,0.996139221459177
"TJP2|TJP2",449.566025871531,0.190693742976602,0.338190525100112,0.56386483009881,0.572846126870869,0.996139221459177
"FXN|FXN",102.718027179846,-0.310304390709575,0.511366950666897,-0.606813542222259,0.543974659931677,0.996139221459177
"CBWD1|CBWD1",1291.27693638842,0.175918754879199,0.400852287010109,0.438861796676646,0.660761679856129,0.996139221459177
"CD274|CD274",80.7819060808884,-0.702674377730415,0.490856789677775,-1.43152624656916,0.152279450265397,0.996139221459177
"MIRLET7D|MIRLET7D",18.4492263597686,-0.349761467512838,0.947013196194214,-0.369331144400557,0.711880914092214,0.996139221459177
"MIRLET7F|MIRLET7F",4.0709057660618,2.08488693631702,2.01447067993733,1.03495521532331,0.300689826589556,0.996139221459177
"MIR8893|MIR8893",3.13097736562397,1.85047031772627,1.77706121947598,1.04130926804645,0.29773203668399,0.996139221459177
"UBE2S|UBE2S",581.434914217952,-0.123788198158288,0.342317797327689,-0.361617768998993,0.717637684344004,0.996139221459177
"TNNI3|TNNI3",5.41441652117103,5.67488088909256,3.54230763838375,1.60202937418554,0.109149114058883,0.996139221459177
"NCR1|NCR1",64.1304136308734,-0.0677305784005347,0.764697606627506,-0.0885717149021065,0.929422287951327,0.996139221459177
"PRPF31|PRPF31",967.281681038043,0.0354077909237216,0.370488410718899,0.0955705762968833,0.923861634916535,0.996139221459177
"MIR371|MIR371",53.1045734962315,-1.25597397970807,0.839890822681552,-1.49540148051394,0.134809694397634,0.996139221459177
"ZNF331|ZNF331",607.251727810097,0.47471836262102,0.366988570606752,1.29355080959648,0.19582062290393,0.996139221459177
"MIR8891|MIR8891",8.58429668846651,0.153287270158327,1.37665547733643,0.111347590360741,0.911340718355842,0.996139221459177
"RPS11|RPS11",35838.2885962112,0.352528256922741,0.378822081442655,0.930590570592453,0.352065393987554,0.996139221459177
"RPL13A|RPL13A",43504.0122003316,0.291385280498223,0.340544437118785,0.855645398185098,0.392193950677596,0.996139221459177
"FLT3LG|FLT3LG",131.355398675366,0.403251228838285,0.596091549342061,0.676492108105501,0.498728254966215,0.996139221459177
"DHDH|DHDH",91.5079096384141,-0.304045830093123,0.500326484132335,-0.607694854731503,0.543389876205386,0.996139221459177
"HSD17B14|HSD17B14",355.708451663635,0.180073205721894,0.919843439242888,0.195765059617221,0.844794059251866,0.996139221459177
